,player_id,fantasy_points_ppr
0,00-0019596,2083.52
1,00-0020531,1107.66
2,00-0021206,236.22
3,00-0021429,102.32
4,00-0021547,177.5
5,00-0022127,318.8
6,00-0022787,33.6
7,00-0022803,481.66
8,00-0022824,0.23999992
9,00-0022921,725.42
10,00-0022924,1183.56
11,00-0022942,1088.28
12,00-0022943,267.5
13,00-0022999,0.2
14,00-0023436,524.62
15,00-0023459,1768.86
16,00-0023500,473.5
17,00-0023534,0.0
18,00-0023564,109.4
19,00-0023645,6.98
20,00-0023662,4.1400003
21,00-0023682,635.68
22,00-0023742,-0.16
23,00-0023853,4.32
24,00-0024221,225.8
25,00-0024226,157.84
26,00-0024243,261.3
27,00-0024264,-1.0600001
28,00-0024268,28.7
29,00-0024334,64.0
30,00-0024348,8.0
31,00-0024389,259.5
32,00-0024417,2.88
33,00-0024535,1.5
34,00-0025394,566.0
35,00-0025396,361.8
36,00-0025399,278.4
37,00-0025415,0.5
38,00-0025418,324.5
39,00-0025430,50.46
40,00-0025549,33.6
41,00-0025580,0.0
42,00-0025708,83.6
43,00-0025825,1.5600001
44,00-0025944,0.0
45,00-0026019,58.600002
46,00-0026035,655.98
47,00-0026069,54.0
48,00-0026143,1536.66
49,00-0026144,-0.2
50,00-0026153,124.0
51,00-0026158,533.64
52,00-0026164,20.7
53,00-0026176,293.9
54,00-0026184,120.4
55,00-0026189,475.3
56,00-0026197,34.12
57,00-0026201,58.6
58,00-0026213,70.9
59,00-0026224,1.8
60,00-0026293,6.0
61,00-0026300,97.78
62,00-0026345,148.6
63,00-0026498,1444.78
64,00-0026544,76.94
65,00-0026625,100.1
66,00-0026898,0.31999993
67,00-0026901,151.2
68,00-0026983,17.1
69,00-0026986,328.5
70,00-0026995,102.0
71,00-0027006,57.6
72,00-0027029,555.5
73,00-0027057,20.1
74,00-0027061,777.9
75,00-0027089,26.1
76,00-0027125,55.6
77,00-0027139,6.8
78,00-0027150,597.42
79,00-0027215,24.1
80,00-0027321,2.2
81,00-0027325,225.1
82,00-0027440,4.4
83,00-0027531,162.9
84,00-0027539,6.2
85,00-0027647,6.0
86,00-0027654,2.2
87,00-0027656,824.6
88,00-0027675,134.4
89,00-0027681,162.3
90,00-0027685,838.92
91,00-0027688,123.76
92,00-0027690,140.9
93,00-0027691,65.3
94,00-0027696,624.9
95,00-0027732,17.2
96,00-0027793,950.8
97,00-0027796,8.1
98,00-0027854,39.68
99,00-0027857,0.0
100,00-0027861,0.0
101,00-0027873,93.6
102,00-0027874,447.9
103,00-0027891,665.52
104,00-0027902,209.1
105,00-0027925,55.4
106,00-0027939,971.76
107,00-0027942,705.9
108,00-0027944,1226.2
109,00-0027948,117.14
110,00-0027966,900.9
111,00-0027973,984.24
112,00-0027981,593.0
113,00-0027985,94.3
114,00-0027994,83.7
115,00-0027996,175.4
116,00-0028002,678.0
117,00-0028009,171.5
118,00-0028011,31.6
119,00-0028012,9.940001
120,00-0028042,86.299995
121,00-0028063,14.8
122,00-0028064,238.7
123,00-0028067,97.8
124,00-0028074,57.9
125,00-0028083,129.8
126,00-0028087,532.0
127,00-0028090,34.02
128,00-0028091,50.399998
129,00-0028093,42.3
130,00-0028097,106.8
131,00-0028112,206.4
132,00-0028114,18.9
133,00-0028116,127.1
134,00-0028118,378.24
135,00-0028128,6.5
